path,x,y,zoom,col
aachen_000001_000019_leftImg8bit.png,560.0,412.0,0.5,r
aachen_000001_000019_leftImg8bit.png,556.0,400.0,0.25,r
aachen_000004_000019_leftImg8bit.png,238.0,416.0,0.5,g
aachen_000004_000019_leftImg8bit.png,1992.0,288.0,0.125,g
aachen_000010_000019_leftImg8bit.png,1648.0,120.0,0.25,r
aachen_000010_000019_leftImg8bit.png,1400.0,364.0,0.5,r
aachen_000010_000019_leftImg8bit.png,528.0,368.0,0.5,r
aachen_000010_000019_leftImg8bit.png,1864.0,248.0,0.5,g
aachen_000010_000019_leftImg8bit.png,1528.0,356.0,0.25,r
aachen_000013_000019_leftImg8bit.png,4.0,38.0,0.5,r
aachen_000013_000019_leftImg8bit.png,4.0,94.0,0.5,r
aachen_000013_000019_leftImg8bit.png,4.0,122.0,0.5,r
aachen_000013_000019_leftImg8bit.png,272.0,290.0,0.5,r
aachen_000013_000019_leftImg8bit.png,310.0,296.0,0.5,r
aachen_000013_000019_leftImg8bit.png,338.0,300.0,0.5,r
aachen_000013_000019_leftImg8bit.png,1668.0,460.0,0.5,r
aachen_000013_000019_leftImg8bit.png,1550.0,444.0,0.5,g
aachen_000013_000019_leftImg8bit.png,300.0,292.0,0.25,r
aachen_000014_000019_leftImg8bit.png,2026.0,64.0,0.5,r
aachen_000014_000019_leftImg8bit.png,2042.0,70.0,0.5,r
aachen_000014_000019_leftImg8bit.png,562.0,348.0,0.5,r
aachen_000014_000019_leftImg8bit.png,1264.0,422.0,0.5,r
aachen_000014_000019_leftImg8bit.png,1984.0,456.0,0.25,g
aachen_000031_000019_leftImg8bit.png,1906.0,310.0,0.5,g
aachen_000035_000019_leftImg8bit.png,36.0,310.0,0.5,r
aachen_000035_000019_leftImg8bit.png,906.0,332.0,0.5,r
aachen_000035_000019_leftImg8bit.png,1132.0,1012.0,0.25,r
aachen_000035_000019_leftImg8bit.png,40.0,312.0,0.25,r
aachen_000044_000019_leftImg8bit.png,590.0,56.0,0.5,r
aachen_000044_000019_leftImg8bit.png,776.0,402.0,0.5,r
aachen_000044_000019_leftImg8bit.png,690.0,454.0,0.5,r
aachen_000044_000019_leftImg8bit.png,1958.0,548.0,0.5,r
aachen_000045_000019_leftImg8bit.png,1808.0,138.0,0.5,r
aachen_000045_000019_leftImg8bit.png,1802.0,162.0,0.5,r
aachen_000045_000019_leftImg8bit.png,16.0,320.0,0.5,r
aachen_000045_000019_leftImg8bit.png,1346.0,490.0,0.5,r
aachen_000045_000019_leftImg8bit.png,998.0,492.0,0.5,r
aachen_000045_000019_leftImg8bit.png,1822.0,134.0,0.5,g
aachen_000045_000019_leftImg8bit.png,1796.0,158.0,0.5,g
aachen_000045_000019_leftImg8bit.png,1812.0,144.0,0.25,r
aachen_000045_000019_leftImg8bit.png,20.0,324.0,0.25,r
aachen_000045_000019_leftImg8bit.png,992.0,492.0,0.25,r
aachen_000045_000019_leftImg8bit.png,1336.0,504.0,0.125,r
aachen_000046_000019_leftImg8bit.png,1118.0,266.0,0.5,r
aachen_000046_000019_leftImg8bit.png,84.0,286.0,0.5,r
aachen_000046_000019_leftImg8bit.png,1008.0,364.0,0.5,r
aachen_000046_000019_leftImg8bit.png,1130.0,490.0,0.5,r
aachen_000046_000019_leftImg8bit.png,1146.0,490.0,0.5,r
aachen_000046_000019_leftImg8bit.png,1530.0,492.0,0.5,r
aachen_000046_000019_leftImg8bit.png,30.0,114.0,0.5,g
aachen_000046_000019_leftImg8bit.png,662.0,380.0,0.5,g
aachen_000046_000019_leftImg8bit.png,1138.0,484.0,0.5,g
aachen_000046_000019_leftImg8bit.png,1538.0,488.0,0.5,g
aachen_000046_000019_leftImg8bit.png,1916.0,268.0,0.25,r
aachen_000046_000019_leftImg8bit.png,1136.0,484.0,0.25,r
aachen_000046_000019_leftImg8bit.png,1536.0,488.0,0.125,r
aachen_000046_000019_leftImg8bit.png,1136.0,488.0,0.125,r
aachen_000047_000019_leftImg8bit.png,436.0,448.0,0.25,r
aachen_000050_000019_leftImg8bit.png,674.0,272.0,0.5,r
aachen_000050_000019_leftImg8bit.png,1392.0,422.0,0.5,r
aachen_000054_000019_leftImg8bit.png,710.0,292.0,0.5,r
aachen_000054_000019_leftImg8bit.png,804.0,382.0,0.5,r
aachen_000054_000019_leftImg8bit.png,812.0,406.0,0.5,r
aachen_000054_000019_leftImg8bit.png,1042.0,412.0,0.5,r
aachen_000054_000019_leftImg8bit.png,576.0,420.0,0.5,r
aachen_000054_000019_leftImg8bit.png,554.0,434.0,0.5,r
aachen_000054_000019_leftImg8bit.png,596.0,436.0,0.5,r
aachen_000054_000019_leftImg8bit.png,1086.0,440.0,0.5,r
aachen_000057_000019_leftImg8bit.png,984.0,470.0,0.5,r
aachen_000057_000019_leftImg8bit.png,1034.0,472.0,0.5,r
aachen_000057_000019_leftImg8bit.png,1330.0,336.0,0.5,g
aachen_000061_000019_leftImg8bit.png,114.0,300.0,0.5,r
aachen_000061_000019_leftImg8bit.png,1752.0,312.0,0.5,r
aachen_000061_000019_leftImg8bit.png,1080.0,472.0,0.5,r
aachen_000061_000019_leftImg8bit.png,1168.0,472.0,0.25,r
aachen_000061_000019_leftImg8bit.png,1348.0,488.0,0.5,r
aachen_000061_000019_leftImg8bit.png,1526.0,492.0,0.5,r
aachen_000061_000019_leftImg8bit.png,1686.0,374.0,0.5,g
aachen_000061_000019_leftImg8bit.png,1080.0,480.0,0.25,r
aachen_000061_000019_leftImg8bit.png,1352.0,492.0,0.25,r
aachen_000061_000019_leftImg8bit.png,1520.0,496.0,0.25,r
aachen_000061_000019_leftImg8bit.png,1872.0,504.0,0.25,r
aachen_000061_000019_leftImg8bit.png,1520.0,504.0,0.125,r
aachen_000065_000019_leftImg8bit.png,1320.0,172.0,0.5,r
